episode_index,reset_seed,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6
0,1511897467,-0.006603336427360773,1.4219412803649902,-0.6688671112060547,0.4898066818714142,0.0,0.0,0.0
1,1156069968,0.002566814422607422,1.3982722759246826,0.2599737048149109,-0.5621270537376404,0.0,0.0,0.0
2,747316575,0.0012340545654296875,1.414584994316101,0.1249830573797226,0.16288834810256958,0.0,0.0,0.0
3,329122178,0.005750560667365789,1.4066557884216309,0.5824594497680664,-0.18954093754291534,0.0,0.0,0.0
4,646131025,-0.007118320558220148,1.4033734798431396,-0.7210150957107544,-0.33542248606681824,0.0,0.0,0.0
5,386281797,0.007811641786247492,1.4209952354431152,0.7912193536758423,0.44775792956352234,0.0,0.0,0.0
6,469159189,-0.004582405090332031,1.4036856889724731,-0.46415987610816956,-0.3215378522872925,0.0,0.0,0.0
7,1241291005,0.006428623106330633,1.4090553522109985,0.6511497497558594,-0.08289995789527893,0.0,0.0,0.0
8,825866776,0.00698509206995368,1.415118932723999,0.7075000405311584,0.1865944266319275,0.0,0.0,0.0
9,401355324,0.006789016537368298,1.4165462255477905,0.6876426339149475,0.25003260374069214,0.0,0.0,0.0
10,847717680,0.002613925840705633,1.4110270738601685,0.2647515535354614,0.004755111876875162,0.0,0.0,0.0
11,1843468895,0.003218364669010043,1.4136717319488525,0.3259706497192383,0.12229838222265244,0.0,0.0,0.0
12,2089784483,0.0003470420779194683,1.411501407623291,0.0351434126496315,0.02583177573978901,0.0,0.0,0.0
13,2027634781,0.0058799744583666325,1.4202213287353516,0.595550000667572,0.4133729338645935,0.0,0.0,0.0
14,1649752016,0.003979682922363281,1.4197132587432861,0.4030831456184387,0.3908030688762665,0.0,0.0,0.0
15,2013698973,-0.002074718475341797,1.4050160646438599,-0.2101571261882782,-0.2624082863330841,0.0,0.0,0.0
16,123927870,-0.0005025863647460938,1.4163691997528076,-0.05092552304267883,0.24218182265758514,0.0,0.0,0.0
17,1821182807,-0.0026815414894372225,1.403761386871338,-0.2716222405433655,-0.3181729316711426,0.0,0.0,0.0
18,771268235,0.006433677859604359,1.407365322113037,0.651657223701477,-0.15800903737545013,0.0,0.0,0.0
