episode_index,reset_seed,stress_x0,stress_vx0,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6
0,464507548,-0.28986540059824273,0.00575092039190217,-0.2898654043674469,1.4118183851242065,0.005750920157879591,0.03990417346358299,0.0,0.0,0.0
1,172674724,0.3574643684297003,-0.20389730601458922,0.35746440291404724,1.3990060091018677,-0.20389731228351593,-0.5295103192329407,0.0,0.0,0.0
2,163903425,-0.027356163381890064,0.5063640954422872,-0.02735614776611328,1.4130618572235107,0.506364107131958,0.09516187012195587,0.0,0.0,0.0
3,1019325551,-0.6626372707930464,-0.7510024067502862,-0.6626372933387756,1.41983962059021,-0.7510024309158325,0.3964141309261322,0.0,0.0,0.0
4,1629015762,-0.030223276718114755,-0.23910825793655544,-0.03022327460348606,1.4209741353988647,-0.23910824954509735,0.4468388259410858,0.0,0.0,0.0
5,1449951718,-0.7630139821147313,0.1521511593040048,-0.7630139589309692,1.4016973972320557,0.15215115249156952,-0.40991753339767456,0.0,0.0,0.0
6,1892108963,0.7932713932757287,0.4213874455978306,0.7932714223861694,1.402151107788086,0.4213874340057373,-0.38974249362945557,0.0,0.0,0.0
7,1353470719,-0.6054504466350059,0.6723506174275895,-0.605450451374054,1.4091976881027222,0.6723505854606628,-0.07654896378517151,0.0,0.0,0.0
8,676069518,0.03516743839789416,0.17796081381827267,0.03516740724444389,1.4162665605545044,0.1779608130455017,0.23759575188159943,0.0,0.0,0.0
9,1315085260,-0.3449904084617721,-0.3195581331166983,-0.34499040246009827,1.4062222242355347,-0.31955814361572266,-0.2087959498167038,0.0,0.0,0.0
10,1377954153,0.48408721486653383,-0.01654925318864464,0.48408716917037964,1.4084935188293457,-0.016549253836274147,-0.10786859691143036,0.0,0.0,0.0
11,681462722,0.18438615647318346,0.3247432841753328,0.18438616394996643,1.4080266952514648,0.3247433006763458,-0.1286044716835022,0.0,0.0,0.0
12,1906037396,0.6815448450909156,0.6250158619826693,0.6815448999404907,1.406361699104309,0.6250158548355103,-0.20260000228881836,0.0,0.0,0.0
